,Category,Views,Likes,Dislikes,Comments
0,Total_videos,706342.176923077,11917.702564102565,194.75897435897437,421.47814910025704
1,Yoga_videos,756211.4895104895,13952.713286713286,194.27972027972027,458.2097902097902
2,Workout_videos,1212687.5057471264,17717.080459770114,287.6666666666667,472.2183908045977
3,Medi_videos,471768.2727272727,9314.84090909091,193.13636363636363,350.09090909090907
4,Food_lifestyle_videos,163536.73684210525,3824.684210526316,100.44736842105263,308.07894736842104
5,10min_videos,639269.1290322581,12905.58064516129,182.0,352.3225806451613
6,15min_videos,531447.5555555555,11845.037037037036,195.5185185185185,387.0
7,20min_videos,384606.44444444444,10504.333333333334,95.85185185185185,363.5925925925926
8,25min_videos,380599.1818181818,10841.454545454546,89.0,365.72727272727275
